A And Sons H\W Store,8787866890,,,,
Aashi Enterpries,9436044444,,NAVNEET,,
Abdul Lilong C|O Sunny Staff,8011633336,LILONG,,,
Abdul Store Ccpur,,,,,
Abu Electrical ,7085555900,THANGAL BAZAR,BHOLA,,
Afiya Houseware,9615924325,LILONG,MOHIT,,
Agape Electrical,,,PARDEEP,,
Aggarwal H\W ,,THANGAL BAZAR,,,
Aggarwal Provision Ukl,9116486304,,,,
Ajay Agg Alu Gali C/o Krishna Mistry,,,,,
Ajay Gas,,,,,
Ajmir Khan,7005613803,KWAKTA,PARDEEP,,
Akash Electrical,9612018261,CCPUR,PARDEEP,,
Akash Lpg,8119955866,,BISHWA KUMAR,,
Akash Mattress,9863288144,,,,
Ak H/W & Paints,,SINGJAMEI,MOHIT,,
Ak Store C/o Navneet,8131019413,,NAVNEET,,
A.L. Store ,9612634305,,SANU,,
Amar Hardware,9862033437,,,,
Altaf Electrical ,8837415691,,NAVNEET,,
Amarjit Mayai Lambi,,,MOHIT,,
Amarjit Spt C/o Sanu,,,SANU,,
Amir Khan C/o Pardeep,8118945774,CCPUR,PARDEEP,,
Amit Mistry C/o Ghari School,,,,,
Amit Mistry Personal,,,MISTRY,,
Amit Mistry Thoubal Haokha,,,,,
Anil H\W Motbung C/o Sanu,9862280325,,,,
Anil Trading,,,,,
Anita Chakpi Karong C/o Sanu,,,,,
Anjar H/W Lilong C/o Mohit,8131921997,,,,
Anju Hardware ,,KWAKTA,PARDEEP,,
Anwar Mayang Imphal,8837320423,,,,
Appibom C/o Navneet,,,NAVNEET,,
Apunba Fitness C/o Sana,,,,,
Areca School C/o Manik Mistry,,,MISTRY,,
Arihant Sanitation (Sandeep),8974189604,THANGAL BAZAR,BHOLA,,
Arnol Kpi C/o Suresh Kpi,,,,,
Aryan Enterprises Kalibari,8794398543,THANGAL BAZAR,BHOLA,,
Ashok Sapormeina,8974335730,,,,
Asian Plastic Door ,,CCPUR,PARDEEP,,
A.U. Enterprise C/o Sanu,,,,,
Awadh Construction Exp For Bss New Bldg,,,,,
Awadh Ji,9862027576,,MISTRY,,
Awantika  Contractor Ltd.,,,,,
Bahubali Marbles,8709259880,,NAVNEET,,
Bakery (Likla) B - Block,,,,,
Balaji Spt C/o Sanu,7005450919,SPT,SANU,,
Baleshwar H/W,9366806577,,,,
Bapi Mistry Personal,,,,,
Basanta (Rising Sun) Cmg,,,ANGAMBA,,
Basnet Electricals Kngltbi,9612967352,,SANU,,
Beben Hardware,,CCPUR,PARDEEP,,
Bedi Ele Gagan,,,,,
Bem Moirng Ibohanbi,7005329345,,,,
Bengun Ta Mani C/o Sana,,,,,
Bespoke Project,8850658065,,,,
Bezer  CC Pur ,9612281346,CCPUR,PARDEEP,,
Bharat Store C/o/Gagan,,,,,
Bhawani Kpi Sanu,8731932622,,SANU,,
Biplop Eletrical ,6909102803,SPT,SANU,,
Bir Balaji Hardware,7085383613,,NAVNEET,,
BK Electricals Ningthoukhong,7630851779,NINGTHOUKHONG,,,
Bk Yairepok C/o Loken ,,YARIPOK,,,
Bk Yairipok C/o Suranjoy,8014006227,,,,
Boinu Motbung C/o Sanu,,,SANU,,
Borhan Lilong H/W ,9366518539,,,,
Br Electrical New Checkon,9862308896,,SANU,,
Brojen Moirng Iboahnbi,,,,,
Bs Electronic Kak C/o Sunny,8014091980,,,,
Bs Electronics Kanglatombi C/o Surjit,7005050233,KANGLATOMBI,,,
BS Enterprises  ,7005272119,NAGAMAPAL,BHOLA,,
B.S.S. New Shop,,,,,
Bum Bum Electrical,9155365580,,NAVNEET,,
Cc Pur H\W C/o Pradeep,,,PARDEEP,,
Chandrakumar Moirang,8798752661,MOIRANG,,,
Chinglemba H/W,,LAMLONG ,,,
Chongtham Enterprises C/o Deepak,8837021982,,,,
Choudary Ukhrol  Tharmi Ei,8415034005,,,,
Christ Jyoti School,,,,,
Cim Calcutta Iron Mart (Kolkata Trading),,,,,
Citylights ,9436022982,,,,
Complete Commercial,9862688347,,,,
C R Enterprise Tiels ,,THANGAL BAZAR,BHOLA,,
Decolite Spt,7085822380,SPT,SANU,,
Deepak Interior,,,,,
Desh Bandu Gupta Mes,,,,,
Devan Staff  C/o Mani,,,,,
Devasanta C/o Nangthoi Kei,7005730149,YARIPOK,NANGTHOI KEI,,
Dg Hardware Kpi,9366312686,,KPI,,
Dhanaji Chapikarong ,,,SANU,,
Dhanajit Electronic ,8787592320,,,,
Dhanlakshmi Hospitality,,,,,
Dia Enterprises ,,,NAVNEET,,
Diamond Hardware And Electrical,7005452800,,,,
Dig -Gangte C/o  Gagan,,,,,
Dilip Mu,,,,,
Dinesh Electronics ,9612207361,,PARDEEP,,
Dinesh Enterprises,9856694664,SINGJAMEI,MOHIT,,
Dinesh Kakching Sunny,8837419572,,,,
Dinesh Khurai,,,,,
Dinesh Sekmai ,9366445668,,SANU,,
Ding Ele H\W ,,CCPUR,PARDEEP,,
Disha Tiels ,9612239142,,NAVNEET,,
D K Steel,9862029506,,,,
D-Lite C C Pur C/o Pradeep,,,,,
D M  Enterprises Lamlong C/o Seitem,7005793877,,,,
Doller H\W ,7005733290,,SANU,,
Dp Home Care,,,,,
Dr. Jiten ,,SINGJAMEI,GAGAN JI,,
"Dr. Pradeep Ji, ",,THANGAL BAZAR,,,
Dr Soutin Matai,,,,,
Dto Deepak Singh,,,,,
East India (Shree Meghalaya,9829060190,,,,
East India Transport,,,,,
Electricals And Hardware Centre S.P.T,8416005811,,,,
Emoinu H/W  ,8787894252,SINGJAMEI,MOHIT,,
Emoinu Kakching ,,KAKCHING,,,
Emoinu H\W ,9366485112,NAMBOL,,,
Empty Spaces,9862844718,,,,
Equinox Kakching,,,,,
Eric Ele ,,CCPUR,PARDEEP,,
Evershine ,9862029937,,NAVNEET,,
Fajabi Traders ,8258943200,,DEEPAK,,
Flavours Restaurent,,,,,
Food Corner Sangeet,,,,,
Franchise Outlet ( Likla),,,,,
Gagan Electricals (Plp Acc),,,,,
Gagan Ele Near Banni Super Store,,,,,
Galaxy (Plastic Emporium) Allu Gali,8730028566,THANGAL BAZAR,BHOLA,,
Gateway Electronics And Electricals,8794645496,,,,
GG Enterprises,9612866586,,,,
Gnps Principal Personal,,,,,
G N P S School A\C,,,,,
Gobin Spt,9862825298,SPT,,,
Goodwill Hardware C/o Sanu,,,,,
Gopal Enterprises,8132033490,,NAVNEET,,
Gopal MOIRANG,8974070936,MOIRANG,,,
Gouro  Quarantine,,,,,
Govinda ,,CCPUR,PARDEEP,,
Govin Singh,,,,,
Grace Madam,,,,,
Grande Hotel,,,,,
Gs Electrical (Kei Wire) Th.Bzr. ,,,NAVNEET,,
Gs Electrical ,9862886844,THANGAL BAZAR,NAVNEET,,
Gs Electronic,,MOIRANG,,,
Guwahti Hardware ,,,NAVNEET,,
Hardware Chickim Store,,CCPUR,,,
